title,company,location,salary
Risk Management | Analyst | New York,Goldman Sachs,"New York, United States",
Staff Marketing Data Scientist,SoFi,"San Francisco, CA","$153,600.00
            -
            $264,000.00"
Staff Marketing Data Scientist,SoFi,"Seattle, WA","$153,600.00
            -
            $264,000.00"
"Data Scientist, Algorithms - Pricing",Lyft,"San Francisco, CA",
Growth Analyst,KREWE,"New York, NY",
Data Scientist,ParetoHealth,United States,
"Data Analyst, Enterprise Analytics",Oak Street Health,"Chicago, IL",
Staff Marketing Data Scientist,SoFi,"Claymont, DE","$153,600.00
            -
            $264,000.00"
Staff Marketing Data Scientist,SoFi,United States,"$153,600.00
            -
            $264,000.00"
Data Scientist Intern,Intuit,"Mountain View, CA",
Data Scientist Intern,Intuit,"Mountain View, CA",
Data Analyst,"Nortek Air Solutions, LLC","Tualatin, OR",
Entry-Level Business Intelligence Specialist (Power BI),CCS Global Tech,"San Diego, CA",
Investment Strategist,Parallel Consulting,"New York, United States",
Analytics Engineer (L4) - Content & Studio,Netflix,"Los Angeles, CA",
Associate Product Manager,Institute for Integrative Nutrition,New York City Metropolitan Area,
"Senior Product Manager, Business Manager LMS",LinkedIn,"Sunnyvale, CA",
Business Analyst,Arrow Search Partners,"New York, NY",
Portfolio Analyst,Parallel Consulting,New York City Metropolitan Area,
